id,method,seed,budget,lr,d,k,warmup,ifeval_prompt_strict,ifbench_prompt_loose
u_r4_q25_lr0002,unilora,42,2621440,0.002,2621440,0,,47.13493530499076,16.666666666666664
p_r4_q25_lr00024_ratio4_warm512,prolosa,42,2621440,0.0024,2097152,524288,512,47.874306839186694,19.666666666666664
p_r4_q25_lr00012_ratio4_warm128,prolosa,42,2621440,0.0012,2097152,524288,128,45.65619223659889,15.333333333333332
p_r4_q25_lr00024_ratio12_warm512,prolosa,42,2621440,0.0024,2419791,201649,512,47.874306839186694,16.333333333333332
u_r4_q25_lr0003,unilora,42,2621440,0.003,2621440,0,,48.98336414048059,16.333333333333332
p_r4_q25_lr00024_ratio4_warm128,prolosa,42,2621440,0.0024,2097152,524288,128,49.72273567467653,19.333333333333332
p_r4_q25_lr00048_ratio4_warm512,prolosa,42,2621440,0.0048,2097152,524288,512,45.28650646950093,17.666666666666668
p_r4_q25_lr00012_ratio12_warm128,prolosa,42,2621440,0.0012,2419791,201649,128,48.79852125693161,17.0
u_r4_q25_lr0001,unilora,42,2621440,0.001,2621440,0,,48.24399260628466,15.666666666666668
p_r4_q25_lr00012_ratio4_warm512,prolosa,42,2621440,0.0012,2097152,524288,512,46.39556377079482,16.333333333333332
p_r4_q25_lr00012_ratio12_warm512,prolosa,42,2621440,0.0012,2419791,201649,512,48.98336414048059,17.0
p_r4_q25_lr00024_ratio12_warm128,prolosa,42,2621440,0.0024,2419791,201649,128,51.571164510166355,18.0
u_r4_q25_lr0004,unilora,42,2621440,0.004,2621440,0,,45.4713493530499,18.0
p_r4_q25_lr00048_ratio4_warm128,prolosa,42,2621440,0.0048,2097152,524288,128,47.504621072088725,15.333333333333332
p_r4_q25_lr00048_ratio12_warm128,prolosa,42,2621440,0.0048,2419791,201649,128,49.72273567467653,18.0
p_r4_q25_lr00048_ratio12_warm512,prolosa,42,2621440,0.0048,2419791,201649,512,46.39556377079482,14.000000000000002
